timestamp,X,Y,Z
'19-Feb-2023 23:31:21.610',2.598907,-9.187775,2.462631
'19-Feb-2023 23:31:21.630',2.452866,-8.73288,0.858505
'19-Feb-2023 23:31:21.650',1.832764,-9.041733,-0.589981
'19-Feb-2023 23:31:21.670',1.425751,-9.865341,-0.312256
'19-Feb-2023 23:31:21.690',1.617294,-10.190948,0.79866
'19-Feb-2023 23:31:21.710',1.930923,-10.483032,1.150604
'19-Feb-2023 23:31:21.730',2.52948,-11.048065,-0.331406
'19-Feb-2023 23:31:21.750',2.84552,-11.04567,-1.384857
'19-Feb-2023 23:31:21.770',3.027481,-10.667389,0.535294
'19-Feb-2023 23:31:21.790',2.584549,-10.588379,1.655777
'19-Feb-2023 23:31:21.810',2.239777,-10.674576,0.044479
'19-Feb-2023 23:31:21.830',2.163162,-10.454315,-0.668991
'19-Feb-2023 23:31:21.850',2.938889,-10.068848,-0.252396
'19-Feb-2023 23:31:21.870',3.793625,-10.75119,1.600708
'19-Feb-2023 23:31:21.890',3.065781,-11.359314,-0.127899
'19-Feb-2023 23:31:21.910',2.407379,-10.971451,0.48262
'19-Feb-2023 23:31:21.930',2.076981,-10.066452,0.992584
'19-Feb-2023 23:31:21.950',2.246964,-9.489441,-1.466263
'19-Feb-2023 23:31:21.970',2.397797,-11.234818,-0.065659
'19-Feb-2023 23:31:21.990',1.514343,-11.754364,1.636627
'19-Feb-2023 23:31:22.010',0.149643,-11.747177,0.293472
'19-Feb-2023 23:31:22.030',0.283722,-11.383255,-1.885254
'19-Feb-2023 23:31:22.050',1.016342,-11.495789,-2.0672
'19-Feb-2023 23:31:22.070',2.026703,-11.737595,-1.210083
'19-Feb-2023 23:31:22.090',2.606094,-10.894836,-1.224442
'19-Feb-2023 23:31:22.110',2.653976,-9.628311,-1.789474
'19-Feb-2023 23:31:22.130',2.215836,-8.938782,-1.827789
'19-Feb-2023 23:31:22.150',1.514343,-8.433609,-1.401611
'19-Feb-2023 23:31:22.170',1.188721,-7.873352,-1.219666
'19-Feb-2023 23:31:22.190',0.764954,-7.207764,-1.291489
'19-Feb-2023 23:31:22.210',0.195129,-6.661896,-1.404007
'19-Feb-2023 23:31:22.230',-0.15921,-6.479935,-1.497391
'19-Feb-2023 23:31:22.250',-0.362717,-6.602036,-1.131073
'19-Feb-2023 23:31:22.270',-0.180756,-6.673859,-1.590759
'19-Feb-2023 23:31:22.290',0.384277,-6.824692,-3.075165
'19-Feb-2023 23:31:22.310',1.246185,-7.325089,-4.722382
'19-Feb-2023 23:31:22.330',2.452866,-8.14151,-6.405502
'19-Feb-2023 23:31:22.350',3.985153,-9.163834,-7.980881
'19-Feb-2023 23:31:22.370',4.715393,-10.418396,-8.395081
'19-Feb-2023 23:31:22.390',5.340271,-12.25235,-6.676041
'19-Feb-2023 23:31:22.410',5.574905,-12.47023,-4.844482
'19-Feb-2023 23:31:22.430',6.0298,-9.927582,-6.407898
'19-Feb-2023 23:31:22.450',6.072891,-8.282761,-8.179596
'19-Feb-2023 23:31:22.470',4.22937,-11.012161,-3.850891
'19-Feb-2023 23:31:22.490',-0.958878,-12.362488,3.372421
'19-Feb-2023 23:31:22.510',-4.03064,-11.59874,5.170471
'19-Feb-2023 23:31:22.530',-2.819168,-10.605148,-0.185364
'19-Feb-2023 23:31:22.550',2.828751,-9.261993,-4.104675
'19-Feb-2023 23:31:22.570',3.891785,-8.65387,0.195313
'19-Feb-2023 23:31:22.590',1.332382,-8.249252,3.353271
'19-Feb-2023 23:31:22.610',-1.121674,-9.173416,0.789078
'19-Feb-2023 23:31:22.630',2.074585,-10.327408,0.042084
'19-Feb-2023 23:31:22.650',3.977966,-9.776749,-0.556458
'19-Feb-2023 23:31:22.670',3.458435,-9.151855,-0.257187
'19-Feb-2023 23:31:22.690',1.600525,-9.415222,0.654999
'19-Feb-2023 23:31:22.710',0.872696,-9.848572,0.65979
'19-Feb-2023 23:31:22.730',0.69313,-9.084824,-0.46788
'19-Feb-2023 23:31:22.750',0.839172,-9.094406,0.79866
'19-Feb-2023 23:31:22.770',1.746582,-9.168625,2.402771
'19-Feb-2023 23:31:22.790',2.661163,-8.517395,1.895203
'19-Feb-2023 23:31:22.810',3.49913,-8.440781,0.157013
'19-Feb-2023 23:31:22.830',2.584549,-9.487045,0.056458
'19-Feb-2023 23:31:22.850',1.748978,-10.222076,0.978226
'19-Feb-2023 23:31:22.870',1.054657,-10.475861,0.829773
'19-Feb-2023 23:31:22.890',1.315613,-10.377701,-0.113541
'19-Feb-2023 23:31:22.910',1.916565,-10.540497,-0.508575
'19-Feb-2023 23:31:22.930',1.935715,-10.490219,-1.006577
'19-Feb-2023 23:31:22.950',1.607712,-10.394455,0.140244
'19-Feb-2023 23:31:22.970',1.727417,-11.139053,1.227219
'19-Feb-2023 23:31:22.990',2.560608,-11.371292,0.616699
'19-Feb-2023 23:31:23.010',2.467224,-10.552475,-0.779129
'19-Feb-2023 23:31:23.030',1.753754,-10.360931,-0.003403
'19-Feb-2023 23:31:23.050',2.735382,-12.072784,2.125046
'19-Feb-2023 23:31:23.070',3.142395,-11.644226,-0.103958
'19-Feb-2023 23:31:23.090',2.031479,-10.566833,-0.475067
'19-Feb-2023 23:31:23.110',1.183945,-9.716888,-0.702515
'19-Feb-2023 23:31:23.130',1.650803,-9.982651,-0.853348
'19-Feb-2023 23:31:23.150',2.215836,-12.082367,1.974213
'19-Feb-2023 23:31:23.170',1.569412,-12.336151,2.438675
'19-Feb-2023 23:31:23.190',0.243011,-11.526917,-0.417603
'19-Feb-2023 23:31:23.210',0.353149,-11.517334,-2.198883
'19-Feb-2023 23:31:23.230',1.626862,-10.964279,-1.506958
'19-Feb-2023 23:31:23.250',2.311615,-10.94751,-0.683365
'19-Feb-2023 23:31:23.270',2.167953,-10.746399,-0.443939
'19-Feb-2023 23:31:23.290',2.376251,-9.489441,-0.970657
'19-Feb-2023 23:31:23.310',2.072189,-8.835831,-1.384857
'19-Feb-2023 23:31:23.330',1.22464,-8.359375,-1.159805
'19-Feb-2023 23:31:23.350',0.496796,-7.540558,-1.061646
'19-Feb-2023 23:31:23.370',0.384277,-7.104813,-1.2005
'19-Feb-2023 23:31:23.390',0.448914,-6.851028,-1.490204
'19-Feb-2023 23:31:23.410',0.331604,-6.834274,-1.875671
'19-Feb-2023 23:31:23.430',0.47525,-7.109604,-2.342545
'19-Feb-2023 23:31:23.450',0.638062,-7.533386,-2.493378
'19-Feb-2023 23:31:23.470',1.349136,-7.775192,-2.878845
'19-Feb-2023 23:31:23.490',1.933319,-7.672241,-3.884399
'19-Feb-2023 23:31:23.510',1.933319,-7.80632,-4.470978
'19-Feb-2023 23:31:23.530',2.191895,-8.426422,-4.739136
'19-Feb-2023 23:31:23.550',3.527863,-9.343399,-5.766251
'19-Feb-2023 23:31:23.570',5.347458,-10.502197,-7.315292
'19-Feb-2023 23:31:23.590',6.645111,-11.352127,-6.252274
'19-Feb-2023 23:31:23.610',6.410477,-11.608307,-4.502106
'19-Feb-2023 23:31:23.630',5.979523,-10.147858,-5.744705
'19-Feb-2023 23:31:23.650',5.945999,-8.945953,-6.908279
'19-Feb-2023 23:31:23.670',5.072128,-11.110321,-4.138184
'19-Feb-2023 23:31:23.690',1.404205,-12.357697,1.344528
'19-Feb-2023 23:31:23.710',-1.993164,-11.570007,4.246307
'19-Feb-2023 23:31:23.730',-3.305191,-10.447128,-0.154236
'19-Feb-2023 23:31:23.750',-0.283707,-8.840622,-5.320923
'19-Feb-2023 23:31:23.770',2.009933,-8.840622,-0.929962
'19-Feb-2023 23:31:23.790',1.605316,-8.388107,2.860062
'19-Feb-2023 23:31:23.810',-0.745789,-8.658661,2.390793
'19-Feb-2023 23:31:23.830',1.181549,-10.016174,1.636627
'19-Feb-2023 23:31:23.850',3.681091,-9.76239,0.645432
'19-Feb-2023 23:31:23.870',3.185486,-9.20932,-0.238037
'19-Feb-2023 23:31:23.890',1.404205,-9.400864,-0.084808
'19-Feb-2023 23:31:23.910',0.975647,-9.68338,-0.38887
'19-Feb-2023 23:31:23.930',1.744186,-9.300308,-0.58519
'19-Feb-2023 23:31:23.950',1.942902,-9.029755,0.64064
'19-Feb-2023 23:31:23.970',2.184708,-9.393677,1.928711
'19-Feb-2023 23:31:23.990',2.620453,-9.652252,2.208832
'19-Feb-2023 23:31:24.010',2.658768,-9.029755,0.93512
'19-Feb-2023 23:31:24.030',2.359497,-8.629929,-0.587585
'19-Feb-2023 23:31:24.050',1.646027,-9.508606,0.180954
'19-Feb-2023 23:31:24.070',1.370682,-9.805481,0.822601
'19-Feb-2023 23:31:24.090',1.562225,-9.76239,0.628662
'19-Feb-2023 23:31:24.110',2.165558,-10.657822,0.133072
'19-Feb-2023 23:31:24.130',2.613281,-10.997787,-0.872498
'19-Feb-2023 23:31:24.150',2.536667,-10.77034,-0.357742
'19-Feb-2023 23:31:24.170',2.316391,-10.75119,0.97583
'19-Feb-2023 23:31:24.190',2.831146,-10.935547,1.141022
'19-Feb-2023 23:31:24.210',2.919739,-10.940338,0.458679
'19-Feb-2023 23:31:24.230',2.278091,-10.485428,0.06842
'19-Feb-2023 23:31:24.250',2.012329,-10.064056,-0.300278
'19-Feb-2023 23:31:24.270',3.149582,-10.617111,1.167358
